2015,2016,2017,2018,2019
Isaac,Fester,Habstrakt,Herobust,GREEN VELVET PRESENTS LA LA LAND
Jack Beats,Filthy Gorgeous,Happi,Honey Soundsystem,GUNZ FOR HIRE
Jackal,Flux Pavilion,Hardwell,Hot Since 82,HEKLER
Jason Bentley,Frankee b2b Loadstar,Hazen,Ilan Bluestone,HOLY GOOF
Javi Row,Frankie Bones,Herobust,Illenium,I_O
John Digweed,FuntCase,illenium,Ivy Lab,ILLENIUM
Jon Rundell,Fury,Infected Mushroom (DJ Set),Jace Mek,INFECTED MUSHROOM
Justin Martin,Gaia,Jamie Jones Presents Paradise,Jack Beats,JAMIE JONES
Kaskade,Galantis,Jauz,Jai Wolf,JASE THIRLWALL
Kasra,Gammer,Jayceeoh,Jamie Jones Presents Paradise,JOHN ASKEW
Kastle,Gareth Emery,John Askew,Jason Ross,JOHN O'CALLAGHAN
Kayzo,Giraffage,John Digweed,Jauz,JOSEPH CAPRIATI
Kennedy Jones,Gladiator,John O’Callaghan,Jessica Audiffred,JOYRYDE
Keys N Krates,Go Freek,Jonas Blue,John 00 Fleming,JSTJR
Kicks N Licks,GTA,Joseph Capriati,John Digweed,JUSTIN MARTIN
Kidnap Kid,Gunz For Hire,JOYRYDE,Jordan Suckley Presents 3FECT,KAIWACHI
Kiesza,Habstrakt,JSTJR,JOYRYDE,KASKADE
Kove,Habu,Junkie Kid,JSTJR,KAYZO
Krewella,Hannah Wants,K?D,Junkie Kid,KENDOLL
Kry Wolf,Hardwell,Kungs,K?D,KIKEONE
Lady Faith,Hermitude,Kygo,Kaskade,LADY FAITH
Laidback Luke,Hot Since 82,Lady Faith,Kayzo,LAYTON GIORDANI B2B BART SKILS
Laxx,Hotel Garuda,Laidback Luke,Keiji,LEIEL (Quantum Valley)
Leiel,InsideInfo,Lee Foss,Khalid,LILTEXAS
LNY TNZ,J.Phlip,Liquid Soul,KITTENS,LIQUID STRANGER
Loco Dice,Jason Bentley,Liquid Stranger,KSHMR,LNY TNZ
Lookas,Jauz,LNY TNZ,Kygo,LOUD LUXURY
Loudpvck,John Askew,LO’99,Latmun,LUCATI
Low Steppa,John Kelley,Lost Frequencies,Lauren Lane,MADGRRL
Mako,John O’Callaghan,Louis the Child,Lee Foss,MALAA
Mark Knight,Jordan Suckley,Low Steppa,Loadstar b2b Mind Vortex,MARK SIXMA
Markus Schulz,Joyryde,Mad Dog b2b DJ AniMe,Loco Dice,MARLO
Martin Garrix,JSTJR,Madeon,London On Da Track,MARTIN GARRIX
Martin Solveig,Juan Atkins,Major Lazer,Lost Frequencies,MATRIX & FUTUREBOUND B2B CYANTIFIC
Metrik,Julia Govor,Marco Faraone,LOUDPVCK,MAU5TRAP
MitiS,Julian Jordan,Markus Schulz Presents Dakota,Maceo Plex,MC DINO
Moby,Kaskade,MaRLo,Mariana BO,MEDASIN
Motez,Kasra,Marshmello,Markus Schulz,MELE
MOTi,KDrew,Martin Garrix,Marshmello,MIHALIS SAFRAS
Myon & Shane 54,Knife Party,Martin Solveig,Martin Garrix,MONSTERGETODWN B2B RHYNO
Neelix,KRNE,Maximono,Master of The People,MORELIA
NGHTMRE,KSHMR,MC Dino,Matt Medved,NERO (DJ SET)
Nicky Romero,Kutski,Megalodon b2b Midnight Tyrannosaurus,MC DINO,NGHTMRE
Noisia,Lady Faith,Metrik,Melé,NIKO ZOGRAFOS
Oliver Heldens,Landis LaPace,Metro Boomin,Mija,NITTI GRITTI
Ookay,Lane 8,Mija,Mike WiLL Made-It,NO MANA
Orjan Nilsen,Leiel,Miss K8,Mister Blaqk,NOFONE
Pan-Pot,Lenny Dee,Monster Cat,MK,NOIZU
Party Favor,Lione,Moon Boots,Moksi,OOLACILE
Petey Clicks,LNY TNZ,Mr. Carmack,NGHTMRE,PARTY FAVOR
Popeska,Loco Dice,Nathan Barato,Nightstalker b2b SOOTHSLAYER,PAUL DENTON
Posso,LondonBridge,Nebbra,Notorius Two,PAUL OAKENFOLD
Pretty Lights,Lookas,NGHTMRE,Oliver Smith,PAUL VAN DYK
Protohype,Loudpvck,Nicole Moudaber Presents MoodZone,Omair,PHISO B2B DEFINITIVE
Psyko Punkz,LUMBERJVCK,Nightstalker,Ookay (Live),QUIX
Pulsatorz,Machete & Friends,Niko Zografos,Parker,RADICAL REDEMPTION
Ran-D,MAKJ,No Requests,Paul Van Dyk,RAITO
ROYL,Mark Farina,NOA,Paul Woolford,RAN-D
Saeed Younan,Markus Schulz,Noisecontrollers,Pendulum (DJ Set),RAWTEK
Sander van Doorn,Marshmello,Nuclyea,Pulsatorz,RED LIGHT
Sasha,Martin Garrix,NVOY,R3HAB,REZZ
Seven Lions,Martin Solveig,Oliver Heldens,Redlight,RICK TRAINOR
Showtek,Matrix & Futurebound,Ookay,Rell The Soundbender b2b Rawtek,RINZEN B2B MATT LANGE
Sigma,Matt Black,Pan-Pot,REZZ,RIOT TEN
Sinden,Max Enforcer,Paul Oakenfold,Robotaki,RJ VAN XETTEN
SKisM,Maximono,Paul van Dyk,Roger Shah (Live),RL GRIME
Slander,Maya Jane Coles,Paul Woolford,Sage Armstrong,ROB GEE
Snails,MC Dino,Paz,Sam Jones,RUBEN DE RONDE
Speaker of the House,Mefjus,Phace,San Holo,SALVATORE GANACCI
State of Mind,Mekanikal,Phiso b2b Ponicz,SayMyName,SAN HOLO
Steve Angello,Mercer,Porter Robinson,Seven Lions,SANDER VAN DOORN PRESENTS PURPLE HAZE
Sunnery James & Ryan Marciano,Michael Calfan,Prolix,Shiba San,SAYMYNAME
TC,Mike Williams,The Prophet,Shimon b2b Benny L,SEFA
Technoboy,Morten,Psytribe,Shmitty b2b No Requests,SIAN
The Upbeats,My Digital Enemy,PureNRG (Giuseppe Ottaviani & Solarstone),Sinden b2b LO’99,SINOPOLI
Thomas Gold,NGHTMRE,Purple Haze,Slander,SKREAM! B2B RUSKO (OLD SKOOL DUBSTEP SET)
Tiesto,Nicole Moudaber,Quix,SLATIN,SLANDER
TNT,Nightstalker,Radical Redemption,Slushii,SNAILS
Tokimonsta,Oliver Heldens,Ravell,Snails,SNAKEHIPS
Tommy Trash,Ookay,Reid Speed,SNAVS,SOLARDO B2B IDRIS ELBA
Trent Cantrelle,Pan-Pot,REZZ,Solardo b2b CamelPhat,SPACE CORPS
TrollPhace,Paper Diamond,RL Grime,Space Jesus,STEVE AOKI
Troy Kurtz,Party Favor,Rockwell,spaceprodigi,SUAE
Tuneboy,Paul Oakenfold,Ruben De Ronde,Spag Heddy,SUB FOCUS B2B WILKINSON
Umek,Paul Ritch (Live),RUFUS DU SOL,Spencer Brown,SUB ZERO PROJECT
Vena Cava,Paul van Dyk,Ruthless,Strange Club,SVDDEN DEATH
Victor Calderone,Pendulum,Sacha Robotti,Suae,SYLENCE
Wilkinson,(DJ Set) w/ MC Verse,Sage Armstrong,Sub Zero Project,TAILS
Wuki,Pierce Fulton,San Holo,Subset,TCHAMI X MALAA
Yellow Claw,Pilo,Sean Tyas,Tchami x Malaa [No Redemption],TECHNOBOY
Z-Trip,Protohype,Seven Lions,The Pitcher,THE GLITCH MOB
Zomboy,Radical Redemption,Shaun Frank,The Prototypes b2b TC,THE MARTINEZ BROTHERS
,Ran-D,Shmitty,Tiesto,TIESTO
,Ravell,Showtek,TNT aka Technoboy ‘N’ Tuneboy,TIMMY TRUMPET
,Redlight,Simon Patterson,Toneshifterz,TISOKI
,Rell The Soundbender,Sinden,Vini Vici,TOKIMONSTA
,Richie Hawtin,SkisM b2b Trampa,Virtual Self,TRITONAL
,RL Grime,Slander,VOLAC,TSURUDA B2B GREAT DANE
,Rob Gee,Slushii,Warface,TUNEBOY
,Ron D Core,Snails,Wasted Penguinz,TWEEKACORE
,Sacha Robotti,Solardo,Whethan,VALENTINO KHAN
,SAYMYNAME,SoothSlayer,Will Clarke,VIRTUAL RIOT
,Seven Lions,Space Jesus,Wongo,VNSSA
,Shaun Frank,TC,XIE,VOLAC
,Shiba San,Tiesto,Yellow Claw,VRTL VRS: VRTL DYNSTY LIVE
,Slander,Los Tíoz: Noizekid & Jay Silva,Yheti b2b Toadface,W&W
,Sleepy Tom,TNT,YOOKiE,WALKER & ROYCE
,Sluggers,Tommy Trash,Yultron,WARFACE
,Snails,Toneshifterz,Yuuki Yoshiyama,WASTED PENGUINZ
,SNBRN,Trap Nation,Zedd,WAVEDASH
,Sonny Fodera,Treasure Fingers,Zeds Dead,WHAT SO NOT
,Stephanie,Trippy Turtle,Zeke Beats,WHIPPED CREAM
,Steve Loria,The Upbeats,Zomboy,YOLANDA BE COOL
,Stööki Sound,Valentino Khan,,YOUSEF
,Suspect 44,Vini Vici,,YULTRON
,Sylence,Virtual Riot,,ZAXX
,Taiki Nulight,W&W,,ZEDS DEAD
,Technoboy,WAIO,,ZEKE BEATS B2B CHAMPAGNE DRIP
,The Chainsmokers,Wasted Penguinz,,ZHU
,The Magician,Wildstylez,,
,The Prototypes,Wilkinson,,
,Thee-O,Will Atkinson,,
,Throttle,Will Clarke,,
,Tiesto,Will Sparks,,
,TJR,Yellow Claw,,
,TNT,Zatox,,
,Tom & Collins,Zedd,,
,Tommy Trash,Zomboy,,
,Totally Enormous Extinct Dinosaurs,,,
,(DJ Set) b2b Jonas Rathsman,,,
,TrollPhace b2b P0gman,,,
,TroyBoi,,,
,Tuneboy,,,
,Two Fresh,,,
,Tycho DJ Set,,,
,UMEK,,,
,Valentino Khan,,,
,W&W,,,
,Walker & Royce,,,
,Wasted Penguinz,,,
,What So Not,,,
,Wuki,,,
,Yellow Claw,,,
,Zander,,,
,Zedd,,,
,Zomboy,,,
